,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
41,h-3,It 's a good place and will definitely consider to come again .,good place,,restaurant,general,positive,weak,,author,,
42,,,,will definitely consider to come again,restaurant,general,positive,strong,,author,,
43,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,location,accessibility,positive,weak,,author,a 15 min walk away,
44,,,grocery store,,location,accessibility,positive,weak,,author,easy to walk from,
45,,,grocery store,,location,accessibility,positive,weak,,author,with a few groceries for breakfasts and snacks,
46,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,kept very clean,property,cleanliness,positive,strong,,property_manager,,
47,,,apartment,nicely furnished,property,appearance,positive,weak,,property_manager,,
48,h-6,Really great location close to so many restaurants .,location,really great,place,location,positive,strong,,author,close to so many restaurants,
49,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",oine,terrific,host,hospitality,positive,strong,,author,,
50,,,oine,very responsive,host,communication,positive,strong,,author,by text and email,
51,,,preparation of the apartment,spotless and nicely decorated,apartment,cleanliness,positive,strong,,author,,
52,,,apartment,feels like home,apartment,comfort,positive,strong,,author,,
53,h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
54,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,tiffany 's apartment space,perfect spot,accommodation,location,positive,strong,,author,if you 're staying in boston,
55,h-10,By far one of the best locations you could stay at in Boston .,location,one of the best,hotel,general,positive,strong,,author,,
56,h-11,Everything was super clean .,everything,super clean,environment,cleanliness,positive,strong,,author,,
57,h-13,Entry was simple and easy .,entry,simple and easy,process,operational_performance,positive,strong,,author,,
58,h-14,Great location close to the Commons .,location,great,place,operational_performance,positive,strong,,author,close to the Commons,
59,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,hospitality,service,positive,strong,my,author,,
60,,,hosts,helping me carry my items upstairs,hospitality,service,positive,weak,,author,,
61,,,hosts,explaining where everything was,hospitality,service,positive,weak,,author,,
62,,,hosts,offering breakfast and coffee in the morning,hospitality,service,positive,weak,,author,,
63,h-17,This location does not have a kitchen and you must share a bathroom .,location,,property,facilities,negative,strong,,author,,
64,,,kitchen,,property,facilities,negative,strong,,author,,
65,,,bathroom,,property,facilities,negative,strong,,author,must share,
66,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,location,operational_performance,positive,strong,,author,,70-80 degree weather we were enjoying
67,,,360 degree views,perfect,location,operational_performance,positive,strong,,author,,70-80 degree weather we were enjoying
68,h-20,I highly recommend it !,,highly recommend,book,general,positive,strong,i,author,,
69,h-24,Excellent location for exploring Boston .,location,excellent,place,general,positive,strong,,author,,
70,h-21,Best location in Boston .,,best,location,general,positive,strong,,author,in boston,
71,h-28,Great attention to detail and very good communication,attention to detail,great,work,quality,positive,strong,,author,,
72,,,communication,very good,interaction,interaction_quality,positive,strong,,author,,
73,c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,shoes,operational_performance,positive,weak,i,author,,
74,c-2,Super crinoline for the price !,super crinoline,,product,price,positive,strong,,author,,
75,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,clothing,design,positive,weak,,author,,
76,c-4,They hold up great !,,hold up great,product,general,positive,strong,,author,,
77,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,,product,material,negative,strong,I,customer,,
78,,,LifeStride shoes,,product,manufacturing_location,negative,strong,I,customer,,
79,c-7,I use them for musical theatre productions and they holdup well .,,holdup well,product,durability,positive,strong,i,user,,
80,c-8,"She said they are so comfortable , and they are perfect .",they,so comfortable,shoes,comfort,positive,strong,she,speaker,,
81,,,they,perfect,shoes,fit,positive,strong,she,speaker,,
82,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",slots,,product,operational_performance,negative,weak,,author,as I was putting them on very carefully this morning,
83,,,product,,product,general,negative,weak,,author,could not wear them,
84,,,product,,product,general,negative,weak,,author,will return,
85,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,,
86,,,shoes,stylish,footwear,appearance,positive,weak,,author,,
87,c-12,I bought 2 other pairs for other cast members !,,bought,product,general,positive,strong,I,customer,2 other pairs for other cast members,
88,c-13,Comfortable and attractive .,design,attractive,product,appearance,positive,weak,,author,,
89,,,comfort,comfortable,product,ergonomics,positive,weak,,author,,
90,c-15,Everything else about these tights is amazing .,everything else,amazing,tights,general,positive,strong,,author,,
91,c-16,These shoes are great .,shoes,great,product,general,positive,strong,,author,,
92,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,make the legs look beautiful,clothing,appearance,positive,strong,,author,,
93,,,seams,coming apart,clothing,construction,negative,strong,,author,at the crotch,
94,c-18,They are nice and exactly what I expected .,,nice,product,general,positive,weak,,author,,
95,,,,exactly what I expected,product,general,positive,weak,,author,,
96,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,product,quality,positive,strong,my husband,husband,,
97,c-20,Very small fit .,size,very small,clothing,physical_properties,negative,strong,,author,,
98,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,capezio size chart,usability,positive,strong,,author,,
99,c-21,The soles are soft too .,soles,soft,shoe,physical_properties,positive,weak,,author,,
100,c-24,Order 1 size larger than needed .,order,size larger than needed,order,operational_performance,negative,weak,,author,,
101,l-1,Great for Programming and for low end gaming,,great,laptop,general,positive,strong,,author,,
102,,,programming,,laptop,use_case,positive,strong,,author,,
103,,,low end gaming,,laptop,use_case,positive,strong,,author,,
104,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,leads to broken displays,design,design_flaws,negative,strong,,author,,"when the magsafe plug is caught inside the computer upon closing , breaking the monitor"
105,l-3,Images are too dark and blurry .,images,too dark and blurry,visual_content,visual_quality,negative,strong,,author,,
106,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",android app development,worth more than it 's price,device,utility,positive,strong,i,author,,
107,l-6,I 'm a mac user and I would love to get this laptop .,laptop,,product,general,positive,strong,i 'm a mac user,user,,
108,l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,all mushy no tactile feedback,keyboard,operational_performance,negative,strong,,author,,
109,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,,author,,
110,,,8th gen Intel processor,,processor,generation,positive,strong,,author,,
111,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,solid,device,build_quality,positive,strong,,author,,
112,,,keyboard,well-sized,keyboard,ergonomics,positive,weak,,author,,
113,,,keyboard,comfortable,keyboard,ergonomics,positive,weak,,author,,
114,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,average,,author,,
115,,,microphone,high enough quality,microphone,operational_performance,positive,average,,author,,
116,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,,author,,
117,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,operational_performance,negative,strong,,author,,it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
118,,,$ 200 computer,,computer,price,positive,weak,,author,,
119,,,' replacement ' computer,,computer,general,neutral,,,author,,
120,l-15,It took a few weeks for them to send it back .,,took a few weeks,service,operational_performance,negative,average,,author,,
121,l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,,process,effectiveness,negative,strong,i,user,,
122,l-18,"Even without a SSD , it is still pretty fast .",speed,pretty fast,computer,operational_performance,positive,average,,author,even without a SSD,
123,l-19,I really liked the laptop for its sleekness and weight .,laptop,really liked,device,design,positive,strong,i,user,,
124,l-24,Delivery - very fast by courier .,delivery,very fast,service,operational_performance,positive,strong,,author,,
125,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
126,,,screen,not the best,display,operational_performance,negative,weak,,author,but its good for the price,
127,,,gaming laptop,cheap,laptop,price,positive,weak,,author,,
128,,,every game,works with,game,compatibility,positive,strong,,author,,
129,l-26,"Laptop was new , in perfect condition and works like a charm .",laptop,new,product,physical_condition,positive,strong,,author,,
130,,,laptop,in perfect condition,product,physical_condition,positive,strong,,author,,
131,,,laptop,works like a charm,product,operational_performance,positive,strong,,author,,
132,l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,better,battery,operational_performance,positive,average,i,author,,
133,l-21,Feel really disappointed as was so happy with previous model .,,feel really disappointed,product,general,negative,strong,I,customer,,
134,r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",waiting time,incredibly long time,service,operational_performance,negative,strong,we,customer,,
135,,,food,need to eat,food,general,neutral,,I,customer,regardless of the coupon,"weird , but whatever"
136,r-2,I come here because you leave full and with money still in your pockets .,food,full,food,quality,positive,strong,,customer,,
137,,,price,money still in your pockets,price,cost,positive,strong,,customer,,
138,r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,i,author,,
139,,,service,makes things bad,service,operational_performance,negative,strong,,author,here,
140,r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",PhO,wanting,food,taste,positive,strong,I,customer,,
141,,,PhO,wanting,food,frequency,positive,strong,I,customer,every time I come,
142,,,mom is a great Pho cooker,,food,taste,positive,strong,I,customer,,
143,r-5,This is one of my favorite brunch places .,brunch places,favorite,restaurant,food_service,positive,strong,,author,,
144,r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,tasty oils and fresh bread,,food,quality,positive,strong,,author,,
145,,,,that 's a big miss here,restaurant,general,negative,strong,,author,,
146,r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,restaurant,ambience,positive,strong,,author,,
147,,,decorating,not overwhelming,restaurant,ambience,positive,weak,,author,,
148,,,decorating,not trying to beat you over the head with a theme,restaurant,ambience,positive,weak,,author,,
149,r-9,This will probably be the last time we will come here .,,last time,visit,frequency,negative,weak,we,author,,
150,r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,stop,driving,operational_performance,negative,strong,you,author,idiots,
151,,,credit cards,no,payment_method,payment_options,negative,weak,,author,,
152,,,ATM inside,,payment_method,payment_options,positive,weak,,author,,bummer
153,r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,n't quite recommend,restaurant,general,negative,weak,,author,for date night or a rehearsal dinner,
154,,,,plenty acceptable,restaurant,general,positive,weak,,author,for grabbing a quick lunch or dinner on your way somewhere else,
155,r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,food,taste,positive,strong,I,customer,,
156,,,ambiance,enjoyed,environment,atmosphere,positive,weak,I,customer,,
157,,,crowded,pretty crowded,restaurant,capacity,positive,average,,customer,for a weekday,
158,,,server ladies,sweet and helpful,staff,service,positive,strong,I,customer,,
159,r-14,Great place !,,great place,location,general,positive,strong,,author,,
160,r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",walking by on E. Hastings,easy to miss,location,accessibility,negative,weak,my advice to the owners,author,,
161,r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,had to search for our waitress and it took about a hour before we receive our food,restaurant,operational_performance,negative,strong,I,customer,,
162,r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,splash of coke,insult,drink,operational_performance,negative,strong,i,author,,
163,,,calm,relatively calm guy,self,personal_trait,positive,weak,i,author,,
164,r-20,The old place was more accommodating to singles .,old place,more accommodating,housing,social_environment,positive,weak,,author,,
165,r-21,This chicken is unbelievable .,chicken,unbelievable,food,taste,positive,strong,,author,,
166,r-23,The chicken was also overcooked and dry .,chicken,overcooked,food,preparation,negative,strong,,author,,
167,,,chicken,dry,food,preparation,negative,strong,,author,,
168,r-27,I was reluctant to go here .,,reluctant,location,general,negative,weak,i,author,,
169,r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,amazing,food,taste,positive,strong,,author,,
170,,,french fries,to die for,food,taste,positive,strong,,author,,
171,,,milkshakes,dont even get me started,food,taste,positive,strong,,author,,
