,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
23,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
24,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,,sad tale,situation,general,negative,strong,,author,,
25,,,just how easy,,process,operational_performance,negative,strong,,author,,
26,,,these abused children,,children,general,negative,strong,,author,,
27,,,get lost,,welfare system,operational_performance,negative,strong,,author,in,
28,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,,author,,
29,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,genre,negative,weak,,author,,not a crime novel for the faint hearted
30,,,ironic touch,,book,genre,positive,weak,,author,to the darkest scenes,
31,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 ladies ' courage,inspirational,content,personal_quality,positive,strong,,author,,a lesson to us all
32,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,book,general,positive,weak,for an avid diana fan,author,,
33,,,certain facts,should not have been revealed,book,general,negative,strong,,author,,
34,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,content,positive,strong,i,author,,
35,,,writing,well,book,writing_style,positive,strong,i,author,,
36,,,treatment,exceptional,book,content,positive,strong,,author,numerous good reviews,
37,,,explanation,clear,book,content,positive,average,,author,,
38,,,narrative,compelling,book,content,positive,strong,,author,,provides a moving narrative
39,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,location,positive,strong,,author,,
40,,,rooftop,beyond spectacular,location,location,positive,strong,,author,,
41,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
42,,,bathroom,great addition,bathroom,operational_performance,positive,strong,,author,connected to the room,
43,h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,weak,,author,,
44,,,come again,will definitely consider,location,general,positive,strong,,author,,
45,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,location,accessibility,positive,weak,,author,a 15 min walk away,
46,,,grocery store,easy to walk from,location,accessibility,positive,weak,,author,with a few groceries for breakfasts and snacks,
47,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,kept very clean,property,cleanliness,positive,strong,,author,,
48,,,apartment,nicely furnished,property,appearance,positive,average,,author,,
49,h-6,Really great location close to so many restaurants .,location,really great,place,general,positive,strong,,author,close to so many restaurants,
50,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,oine,general,positive,strong,,author,,
51,,,responsiveness,very responsive,host,operational_performance,positive,strong,,author,by text and email,
52,,,preparation,thoughtful,host,operational_performance,positive,average,,author,,
53,,,cleanliness,spotless,apartment,operational_performance,positive,strong,,author,,
54,h-8,Excellent space in a fantastic location .,space,excellent,location,operational_performance,positive,strong,,author,,
55,,,location,fantastic,location,general,positive,strong,,author,,
56,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,location,operational_performance,positive,strong,,author,,
57,h-10,By far one of the best locations you could stay at in Boston .,location,best,hotel,general,positive,strong,,author,one of the,
58,h-11,Everything was super clean .,everything,super clean,location,cleanliness,positive,strong,,author,,
59,h-13,Entry was simple and easy .,entry,simple and easy,process,operational_performance,positive,strong,,author,,
60,h-14,Great location close to the Commons .,location,great,place,operational_performance,positive,strong,,author,close to the Commons,
61,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",,made feel welcome,hosts,hospitality,positive,strong,,author,the second i entered the home,
62,,,,helping me carry my items upstairs,hosts,hospitality,positive,strong,,author,,
63,,,,explaining where everything was,hosts,hospitality,positive,average,,author,,
64,,,breakfast and coffee,offering,food,food_quality,positive,average,,author,in the morning,
65,h-17,This location does not have a kitchen and you must share a bathroom .,,does not have a kitchen,location,operational_performance,negative,strong,,author,,
66,,,,must share a bathroom,location,operational_performance,negative,strong,,author,,
67,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,360 degree views,perfect,rooftop,operational_performance,positive,strong,,author,,70-80 degree weather we were enjoying
68,,,70-80 degree weather we were enjoying,,weather,operational_performance,positive,strong,,author,,
69,h-20,I highly recommend it !,,highly recommend,book,general,positive,strong,,author,,
70,h-24,Excellent location for exploring Boston .,location,excellent,city,general,positive,strong,,author,,
71,h-21,Best location in Boston .,,Best,location,general,positive,strong,,author,,
72,h-28,Great attention to detail and very good communication,attention to detail,great,service,operational_performance,positive,strong,,author,,
73,,,communication,very good,service,operational_performance,positive,strong,,author,,
74,c-1,I enjoy dancing with these shoes on my feet .,these shoes,enjoy,product,comfort,positive,strong,i,author,,with these shoes on my feet
75,c-2,Super crinoline for the price !,super crinoline,for the price,product,price,positive,strong,,author,,
76,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,product,design,positive,weak,,author,,
77,,,transition option,wear as leggings,product,functionality,positive,weak,,author,transition option,
78,c-4,They hold up great !,,hold up great,product,operational_performance,positive,strong,,author,,
79,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,product,material,negative,strong,I,author,,
80,,,LifeStride shoes,,product,manufacturing_location,negative,strong,I,author,,
81,c-7,I use them for musical theatre productions and they holdup well .,,holdup well,product,operational_performance,positive,weak,i,author,,
82,c-8,"She said they are so comfortable , and they are perfect .",they,comfortable,product,comfort,positive,weak,she,person,,
83,,,they,perfect,product,general,positive,strong,she,person,,
84,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,product,operational_performance,negative,strong,I,author,,
85,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",comfortable,most comfortable,shoes,comfort,positive,strong,,author,,
86,,,stylish,they 're stylish,shoes,style,positive,weak,,author,,
87,c-12,I bought 2 other pairs for other cast members !,,bought,product,general,positive,strong,i,author,,
88,c-13,Comfortable and attractive .,,comfortable,product,comfort,positive,weak,,author,,
89,,,,attractive,product,appearance,positive,weak,,author,,
90,c-15,Everything else about these tights is amazing .,everything else,amazing,tights,general,positive,strong,,author,,
91,c-16,These shoes are great .,shoes,great,product,operational_performance,positive,strong,,author,,
92,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,make the legs look beautiful,clothing,appearance,positive,strong,although,author,,
93,,,seams,coming apart,clothing,operational_performance,negative,strong,,author,at the crotch,
94,c-18,They are nice and exactly what I expected .,,nice,product,general,positive,weak,,author,,
95,,,,exactly what I expected,product,general,positive,weak,,author,,
96,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,product,quality,positive,strong,my husband,person,,
97,c-20,Very small fit .,very small,,product,size,negative,strong,,author,,
98,c-25,Follow the capezio size chart and you 're in the clear .,,in the clear,capezio size chart,general,positive,weak,,author,,
99,c-21,The soles are soft too .,soles,soft,product,physical_property,positive,weak,,author,,
100,c-24,Order 1 size larger than needed .,size,larger than needed,order,operational_performance,negative,weak,,author,order 1,
101,l-1,Great for Programming and for low end gaming,great,,content,general,positive,strong,,author,,
102,,,programming,,content,functionality,positive,strong,,author,,
103,,,low end gaming,,content,functionality,positive,strong,,author,,
104,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,broken displays,design,operational_performance,negative,strong,,author,when the magsafe plug is caught inside the computer upon closing,breaking the monitor
105,,,magsafe plug,,design,operational_performance,,,,author,,breaking the monitor
106,l-3,Images are too dark and blurry .,images,too dark and blurry,display,operational_performance,negative,strong,,author,,
107,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",android app development,worth more than it 's price,product,functionality,positive,strong,i,author,,
108,l-6,I 'm a mac user and I would love to get this laptop .,,love,laptop,general,positive,strong,i,author,,
109,l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,it is all mushy,keyboard,operational_performance,negative,strong,,author,,no tactile feedback
110,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,,author,,
111,,,8th gen Intel processor,,product,hardware,,,,author,especially,
112,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",very well made,,product,general,positive,strong,,author,,
113,,,solid construction,,product,operational_performance,positive,strong,,author,,
114,,,"comfortable , well-sized keyboard",,product,operational_performance,positive,average,,author,,
115,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,device,operational_performance,positive,average,,author,,for discord/google hangouts/etc
116,,,microphone,high enough quality,device,operational_performance,positive,average,,author,,for discord/google hangouts/etc
117,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,,author,,
118,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,product,operational_performance,negative,strong,please do not purchase this,author,,it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
119,,,computer,,product,general,negative,strong,it performs worse,author,than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed,
120,,,computer,,product,general,negative,strong,it,author,,it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
121,l-15,It took a few weeks for them to send it back .,,took a few weeks,service,operational_performance,negative,average,,author,,
122,l-17,I have gone through all the troubleshooting steps and still nothing .,,gone through all the troubleshooting steps and still nothing,troubleshooting,operational_performance,negative,strong,i,author,,
123,l-18,"Even without a SSD , it is still pretty fast .",,pretty fast,computer,operational_performance,positive,average,,author,,
124,l-19,I really liked the laptop for its sleekness and weight .,sleekness,really liked,laptop,design,positive,strong,i,author,,
125,,,weight,really liked,laptop,operational_performance,positive,strong,i,author,,
126,l-24,Delivery - very fast by courier .,delivery,very fast,service,operational_performance,positive,strong,,author,by courier,
127,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,product,general,positive,strong,,author,,
128,,,screen,not the best,display,operational_performance,negative,weak,,author,but its good for the price,
129,,,laptop,cheap,product,price,positive,weak,,author,,
130,,,laptop,works with every game i trow at it,product,operational_performance,positive,strong,,author,,
131,l-26,"Laptop was new , in perfect condition and works like a charm .",new,,laptop,physical_condition,positive,weak,,author,,
132,,,perfect condition,,laptop,physical_condition,positive,strong,,author,,
133,,,works like a charm,works like a charm,laptop,operational_performance,positive,strong,,author,,
134,l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,better,battery,operational_performance,positive,strong,i,author,,had hoped for
135,,,2-1/2 hours,,battery life,operational_performance,negative,strong,,author,doing heavy computations ( 8 threads using 100 % of the CPU ),
136,l-21,Feel really disappointed as was so happy with previous model .,,feel really disappointed,previous model,general,negative,strong,i,author,was so happy with previous model,
137,r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",,weird,experience,general,negative,weak,,author,but whatever,
138,,,,incredibly long time,service,operational_performance,negative,strong,,author,,
139,r-2,I come here because you leave full and with money still in your pockets .,food,full,restaurant,operational_performance,positive,strong,i,author,,you leave with money still in your pockets
140,,,price,money still in your pockets,restaurant,operational_performance,positive,strong,i,author,,
141,r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,general,positive,strong,i,author,,
142,,,service,makes things bad,service,operational_performance,negative,strong,i,author,here,
143,r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",PhO,makes me wanting,food,general,positive,strong,I,author,,
144,,,PhO,makes me wanting,food,general,positive,strong,,author,every time I come,
145,,,PhO,makes me wanting,food,general,positive,strong,,author,,my mom is a great Pho cooker
146,r-5,This is one of my favorite brunch places .,brunch places,favorite,content,genre,positive,strong,one of my,author,,
147,r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,tasty oils and fresh bread,,food,quality,positive,strong,,author,,
148,r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,atmosphere,ambience,positive,strong,,author,,
149,,,decorating,,decoration,ambience,neutral,,,author,not too overwhelming,
150,,,decorating,,decoration,ambience,neutral,,,author,not trying to beat you over the head with a theme,
151,r-9,This will probably be the last time we will come here .,,last time,visit,general,negative,weak,,author,,
152,r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",,Stop driving out the wrong way,people,behavior,negative,strong,idiots,author,,
153,,,,No credit cards,payment method,payment_method,negative,strong,,author,which is a bummer,
154,,,,they do have an ATM inside,bank,payment_method,positive,weak,,author,,
155,r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,would n't quite recommend,restaurant,general,negative,weak,,author,for date night or a rehearsal dinner,
156,,,,plenty acceptable,restaurant,general,positive,weak,,author,for grabbing a quick lunch or dinner on your way somewhere else,
157,r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,food,food_quality,positive,strong,I,author,,
158,,,ambiance,enjoyed,environment,environment,positive,weak,I,author,,
159,,,server ladies,really sweet and helpful,service,service_quality,positive,strong,I,author,,
160,,,crowded,,environment,environment,neutral,,,,for a weekday,
161,r-14,Great place !,,Great place,location,general,positive,strong,,author,,
162,r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",,easy to miss,location,general,negative,weak,,author,,
163,r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,had to search for our waitress and it took about a hour before we receive our food,restaurant,operational_performance,negative,strong,i,author,,the reason why I gave 3 stars
164,r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,,insult,action,general,negative,strong,he,person,,
165,,,,calm,author,general,positive,weak,,author,,
166,r-20,The old place was more accommodating to singles .,,more accommodating,old place,general,positive,weak,,author,,
167,r-21,This chicken is unbelievable .,chicken,unbelievable,food,taste,positive,strong,,author,,
168,r-23,The chicken was also overcooked and dry .,chicken,overcooked,food,operational_performance,negative,strong,,author,,
169,,,chicken,dry,food,operational_performance,negative,strong,,author,,
170,r-27,I was reluctant to go here .,,reluctant,restaurant,general,negative,weak,i,author,,
171,r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,amazing,food,taste,positive,strong,,author,,
172,,,french fries,to die for,food,taste,positive,strong,,author,,
173,,,milkshakes,dont even get me started,food,taste,positive,strong,,author,,
