,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
25,,,ironic touch,,content,genre,positive,strong,author,author,darkest scenes,author has the ability to bring an ironic touch to the darkest scenes
26,,,crime novel,,content,genre,negative,strong,author,author,,not a crime novel for the faint hearted
27,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,behavior,moral,positive,strong,,author,a lesson to us all,
28,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,book,content,positive,strong,For an avid Diana fan,reader,,
29,,,certain facts,should not have been revealed,book,content,negative,strong,,reader,,
30,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,,book,storytelling,positive,strong,I,author,"had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner",
31,,,comprehensive and detailed treatment,exceptional,book,content,positive,strong,"this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity",author,,
32,,,compelling and often moving narrative,,book,storytelling,positive,strong,"this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative",author,,
33,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,property,general,positive,strong,,author,,
34,,,rooftop,beyond spectacular,property,general,positive,strong,,author,,
35,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,accommodation_amenities,positive,strong,,author,,
36,,,bathroom connected to the room,great addition,bathroom,accommodation_amenities,positive,strong,,author,,
37,h-3,It 's a good place and will definitely consider to come again .,location,good place,venue,general,positive,strong,,author,,will definitely consider to come again
38,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,store,accessibility,positive,strong,,author,"a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks",
39,,,groceries,,food,quality,positive,weak,,author,,
40,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,"kept very clean , and nicely furnished",apartment,general,positive,strong,,author,,
41,h-6,Really great location close to so many restaurants .,location,great,property,location,positive,strong,,author,close to so many restaurants,
42,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,host,service,positive,strong,Oine,guest,"very responsive by text and email , and thoughtful with her preparation of the apartment",
43,,,apartment,spotless and nicely decorated,accommodation,cleanliness,positive,strong,,guest,feels like home,
44,h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
45,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,tiffany 's apartment space,perfect spot,accommodation,location,positive,strong,,author,staying in Boston,
46,h-10,By far one of the best locations you could stay at in Boston .,location,best,accommodation,location,positive,strong,By far,author,one of the best locations you could stay at in Boston,
47,h-11,Everything was super clean .,cleanliness,super clean,environment,hygiene,positive,strong,,author,,
48,h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
49,h-14,Great location close to the Commons .,location,great,property,geographical_location,positive,strong,,author,,close to the Commons
50,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hospitality,welcoming,hosts,accommodation,positive,strong,My,guest,"the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning",
51,,,cleanliness,clean,home,accommodation,positive,strong,,guest,,
52,h-17,This location does not have a kitchen and you must share a bathroom .,location,,accommodation,facilities,negative,strong,This location,author,,does not have a kitchen and you must share a bathroom
53,,,kitchen,,accommodation,facilities,negative,strong,This location does not have a kitchen,author,,
54,,,bathroom,,accommodation,facilities,negative,strong,you must share a bathroom,author,,
55,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,location,operational_performance,positive,strong,,author,70-80 degree weather we were enjoying,360 degree views
56,,,360 degree views,,location,operational_performance,,,,author,,
57,,,70-80 degree weather,,weather,environmental_conditions,,,,author,,
58,h-20,I highly recommend it !,,recommend,product,general,positive,strong,I,author,,
59,h-24,Excellent location for exploring Boston .,location,excellent,place,geographical_location,positive,strong,,author,,
60,h-21,Best location in Boston .,location,best,place,general,positive,strong,,author,,
61,,,Boston,,city,geographical_location,positive,strong,,author,,
62,h-28,Great attention to detail and very good communication,attention to detail,great,service,quality,positive,strong,,author,,Great attention to detail
63,,,communication,very good,service,quality,positive,strong,,author,,very good communication
64,c-1,I enjoy dancing with these shoes on my feet .,dancing with these shoes,enjoy,shoes,usage,positive,strong,I,user,,
65,c-2,Super crinoline for the price !,super crinoline,,product,product_quality,positive,strong,,author,,
66,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,product,design,positive,weak,,author,,can wear them as leggings
67,,,product,,clothing,design,positive,weak,,author,,transition option is nice too so you can wear them as leggings
68,c-4,They hold up great !,They,hold up great,product,general,positive,strong,,author,,
69,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,footwear,material_and_origin,negative,strong,I,author,always worn,not leather and they were made in China
70,,,material,,footwear,material_and_origin,negative,strong,,author,not leather,
71,,,origin,,footwear,material_and_origin,negative,strong,,author,made in China,
72,c-7,I use them for musical theatre productions and they holdup well .,microphones,hold up well,microphone,operational_performance,positive,average,I,author,for musical theatre productions,
73,c-8,"She said they are so comfortable , and they are perfect .",comfort,comfortable,shoes,comfort,positive,strong,she,speaker,,they are so comfortable
74,,,shoes,perfect,shoes,general,positive,strong,she,speaker,,
75,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",abdomen-slotted items,cannot wear,clothing,usability,negative,strong,they,author,very carefully this morning,
76,,,abdomen-slotted items,will return,clothing,usability,negative,weak,,author,,
77,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,comfortable,footwear,comfort,positive,strong,author,author,,
78,,,shoes,stylish,footwear,aesthetics,positive,strong,author,author,,
79,c-12,I bought 2 other pairs for other cast members !,2 other pairs,,shoes,product,,,I,author,,
80,,,other cast members,,people,demographic,,,,author,,
81,c-13,Comfortable and attractive .,,comfortable and attractive,product,general,positive,strong,,author,,
82,c-15,Everything else about these tights is amazing .,everything else about these tights,amazing,clothing,general,positive,strong,,author,,
83,c-16,These shoes are great .,shoes,great,footwear,general,positive,strong,,author,,
84,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,clothing,appearance,positive,strong,I,author,although the tights make the legs look beautiful,
85,,,seams,coming apart,clothing,durability,negative,strong,I have noticed,author,,at the crotch
86,c-18,They are nice and exactly what I expected .,They,nice,product,general,positive,average,,author,,They are nice and exactly what I expected .
87,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,footwear,quality,positive,strong,my husband,spouse,,
88,c-20,Very small fit .,fit,,product,size,negative,strong,,author,,
89,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,dance shoes,sizing,positive,strong,follow,author,,Follow the capezio size chart and you 're in the clear.
90,c-21,The soles are soft too .,soles,soft,shoes,physical_properties,positive,strong,,author,,
91,c-24,Order 1 size larger than needed .,order size,,food,portion_size,negative,strong,,author,,Order 1 size larger than needed
92,l-1,Great for Programming and for low end gaming,Great for Programming,positive,device,functionality,positive,strong,,author,,
93,,,low end gaming,positive,device,gaming_performance,positive,weak,,author,,
94,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",combination of these design flows,broken displays,computer,design,negative,strong,The combination of these design flows,author,"when the magsafe plug is caught inside the computer upon closing , breaking the monitor",
95,,,magsafe plug,broken,magsafe plug,design,negative,strong,,author,,
96,,,computer,broken displays,computer,operational_performance,negative,strong,,author,,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor"
97,,,monitor,broken,monitor,operational_performance,negative,strong,breaking the monitor,author,,
98,l-3,Images are too dark and blurry .,images,too dark and blurry,images,visual_quality,negative,strong,,author,,
99,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",android app development,worth more than it 's price,device,functionality,positive,strong,I,author,,got it mainly to do android app development
100,,,price,worth more than,cost,cost,positive,strong,,author,,
101,l-6,I 'm a mac user and I would love to get this laptop .,laptop,love to get,device,product,positive,strong,I 'm a mac user,user,,
102,l-7,Keyboard : it is all mushy no tactile feedback .,tactile feedback,,keyboard,operational_performance,negative,strong,,author,,it is all mushy
103,,,keyboard,,device,operational_performance,negative,strong,,author,,
104,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,For the price,author,,
105,,,8th gen Intel processor,,product,hardware,positive,strong,especially having an 8th gen Intel processor,author,,
106,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,well made,product,physical_quality,positive,strong,,author,"solid construction and a comfortable , well-sized keyboard",
107,,,keyboard,"comfortable , well-sized",keyboard,physical_quality,positive,average,,author,,
108,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,average,camera and microphone,author,for discord/google hangouts/etc,
109,,,microphone,high enough quality,microphone,operational_performance,positive,average,camera and microphone,author,for discord/google hangouts/etc,
110,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,It,author,,
111,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,performance,negative,strong,Please do not purchase this computer,author,,it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
112,,,$ 200 computer,,computer,performance,positive,strong,while waiting on the ' replacement ' computer I got when the other one crashed,author,,
113,,,' replacement ' computer,,computer,performance,positive,strong,,author,,
114,l-15,It took a few weeks for them to send it back .,delivery time,,product,delivery,negative,weak,,author,,It took a few weeks for them to send it back
115,l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,troubleshooting,technical_support,negative,strong,I,user,,I have gone through all the troubleshooting steps and still nothing
116,,,,,,,,,,,,
117,l-18,"Even without a SSD , it is still pretty fast .",speed,pretty fast,computer,operational_performance,positive,average,,author,,"Even without a SSD , it is still pretty fast ."
118,l-19,I really liked the laptop for its sleekness and weight .,sleekness,liked,laptop,design,positive,strong,I,author,,
119,,,weight,liked,laptop,design,positive,strong,I,author,,
120,l-24,Delivery - very fast by courier .,delivery,very fast,service,speed,positive,strong,,author,,
121,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,this laptop,author,,
122,,,screen,good,display,operational_performance,positive,weak,the screen is not the best,author,its good for the price,
123,,,laptop,cheap gaming laptop,laptop,genre,positive,weak,its a cheap gaming laptop,author,,
124,,,laptop,works with every game,laptop,operational_performance,positive,strong,works with every game i trow at it,author,,
125,l-26,"Laptop was new , in perfect condition and works like a charm .",laptop,"new , in perfect condition and works like a charm",laptop,general,positive,strong,,author,,
126,l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,hoped for better,device,operational_performance,negative,strong,I,user,doing heavy computations ( 8 threads using 100 % of the CPU ),
127,l-21,Feel really disappointed as was so happy with previous model .,previous model,disappointed,product,product_performance,negative,strong,feel,user,was so happy with previous model,
128,r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",coupon,weird,coupon,financial,negative,strong,I,author,whatever,I need to eat regardless of the coupon
129,,,waiting time,incredibly long time,restaurant,service,negative,strong,We waited,author,,just to get our food
130,r-2,I come here because you leave full and with money still in your pockets .,service,leave full and with money still in your pockets,business,financial,positive,strong,I,customer,,
131,r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,I,author,,
132,,,service,bad,restaurant,service,negative,strong,here,author,,
133,r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",PhO,wanting Pho every time I come,restaurant,food,positive,strong,I,author,I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ),this place makes me wanting Pho every time I come
134,,,PhO,,restaurant,food,positive,,I,author,I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ),
135,r-5,This is one of my favorite brunch places .,brunch place,favorite,restaurant,food_and_beverage,positive,strong,,author,,
136,r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,tasty oils and fresh bread,miss,food,taste,negative,strong,other establishments on the North End,,,spoil you with tasty oils and fresh bread ... that 's a big miss here !
137,r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,restaurant,ambiance,positive,strong,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.",author,,nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating
138,,,drinks,,beverages,food_and_drink,,,"The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating",author,,
139,,,service,,staff,service,,,"The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating",author,,
140,r-9,This will probably be the last time we will come here .,coming here,last time,location,visit,negative,strong,this,author,,
141,r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,idiots,driving,safety,negative,strong,stop driving,author,,
142,,,no credit cards,bummer,payment,accessibility,negative,weak,,author,,
143,,,ATM inside,,ATM,accessibility,positive,weak,,author,,they do have an ATM inside
144,r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",restaurant,acceptable,dining_venue,dining_experience,neutral,weak,I,author,quick lunch or dinner on your way somewhere else,
145,,,restaurant,not recommend,dining_venue,dining_experience,negative,strong,while,author,date night or a rehearsal dinner,
146,r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast and ambiance,enjoyed,restaurant,food_and_service,positive,strong,I,author,,
147,,,server ladies,really sweet and helpful,staff,service,positive,strong,,author,,
148,,,crowded,pretty crowded,restaurant,operational_performance,positive,average,,author,for a weekday,
149,r-14,Great place !,,great,location,general,positive,strong,,author,,
150,r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",walking by on E. Hastings,easy to miss,location,visibility,negative,strong,My advice to the owners,author,,
151,r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,poor,restaurant,service,negative,strong,I,customer,,we had to search for our waitress and it took about a hour before we receive our food
152,,,food,,food,food_quality,,,,customer,,
153,,,rating,,rating,rating,,,,customer,,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food
154,r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,adding a splash of coke to our drinks,insult,drinks,food_and_beverage,negative,strong,he,server,,To add more insult
155,,,calmness,relatively calm guy,self,personal_characteristics,positive,weak,I 'm,author,,
156,r-20,The old place was more accommodating to singles .,old place,more accommodating,accommodation,accommodation_type,positive,average,,author,singles,
157,r-21,This chicken is unbelievable .,chicken,unbelievable,food,taste,positive,strong,,author,,
158,r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,taste,negative,strong,,author,,
159,r-27,I was reluctant to go here .,going here,reluctant,location,general,negative,strong,I,author,,
160,r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,amazing,food,taste,positive,strong,,author,,
161,,,french fries,to die for,food,taste,positive,strong,,author,,
162,,,milkshakes,,food,taste,positive,strong,dont even get me STARTED,author,,
