id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,lady's courage,inspirational,courage,general,positive,strong,,author,a lesson to us all,can be found to be inspirational & a lesson to us all
b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,insight,general,positive,strong,,avid Diana fan,,For an avid Diana fan
,,certain facts,should not have been revealed,facts,general,negative,strong,,,,however
b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",Mukherjee's narrative,compelling,book,narrative_quality,positive,strong,I,author,,Had I appreciated what a compelling narrative Mukherjee sets out
,,Mukherjee's storytelling,well,book,narrative_quality,positive,average,I,author,,and how well he tells it
,,book,exceptional,book,overall_quality,positive,strong,,,"numerous, good reviews",this is a comprehensive and detailed treatment for the non-expert
,,science and politics explanation,clarity,book,explanatory_quality,positive,strong,,,,that manages to explain the science (and some of the politics) with clarity
,,narrative,compelling and often moving,book,narrative_quality,positive,strong,,,,while providing a compelling and often moving narrative
h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,place,general,positive,strong,,author,,
,,rooftop,beyond spectacular,place,general,positive,strong,,author,,
h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,comfort,positive,strong,,author,,
,,bathroom,great addition,accommodation,amenities,positive,strong,,author,connected to the room,was a great addition
h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,strong,,author,,will definitely consider to come again
h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk,grocery store,accessibility,positive,average,,author,a 15 min walk away,which was easy to walk from with a few groceries for breakfasts and snacks
h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,author,,kept very clean
,,apartment,nicely furnished,apartment,furnishing,positive,average,,author,,nicely furnished
h-6,Really great location close to so many restaurants .,location,really great,place,general,positive,strong,,author,close to so many restaurants,
h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,Oine,service,positive,strong,,author,,
,,responsiveness,very responsive,communication,service,positive,strong,,author,by text and email,
,,preparation of the apartment,thoughtful,Oine,service,positive,average,,author,,
,,apartment,spotless and nicely decorated,apartment,cleanliness,positive,strong,,author,,
,,apartment,feels like home,apartment,comfort,positive,strong,,author,,
h-8,Excellent space in a fantastic location .,space,Excellent,location,general,positive,strong,,author,,fantastic location
,,location,fantastic,location,general,positive,strong,,author,,
h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,Tiffany's apartment space,perfect spot,apartment,location,positive,strong,you,author,if you're staying in Boston,
h-10,By far one of the best locations you could stay at in Boston .,location,one of the best,accommodation,general,positive,strong,,author,By far,you could stay at in Boston
h-11,Everything was super clean .,,super clean,environment,cleanliness,positive,strong,,author,,
h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
h-14,Great location close to the Commons .,location,Great,place,general,positive,strong,,author,close to the Commons,
h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",,feel welcome,home,hospitality,positive,strong,I,guest,,made me feel welcome the second I entered the home
,,,helping me carry my items upstairs,assistance,hospitality,positive,strong,,hosts,,helping me carry my items upstairs
,,,explaining where everything was,information,hospitality,positive,strong,,hosts,,explaining where everything was
,,breakfast and coffee,offering,food,hospitality,positive,strong,,hosts,,offering me breakfast and coffee in the morning
h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,location,facilities,negative,strong,,author,,does not have a kitchen
,,bathroom,must share,location,facilities,negative,strong,,author,,must share a bathroom
h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,view,experience,positive,strong,we,group,for the 70-80 degree weather we were enjoying,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
h-20,I highly recommend it !,,highly recommend,it,general,positive,strong,I,author,,
h-24,Excellent location for exploring Boston .,location,Excellent,place,general,positive,strong,,author,for exploring Boston,
h-21,Best location in Boston .,location,Best,place,general,positive,strong,,author,in Boston,
h-28,Great attention to detail and very good communication,attention to detail,Great,service,quality,positive,strong,,author,,
,,communication,very good,service,quality,positive,average,,author,,
c-1,I enjoy dancing with these shoes on my feet .,shoes,enjoy,footwear,comfort,positive,strong,I,author,with these shoes on my feet,
c-2,Super crinoline for the price !,crinoline,Super,product,value,positive,strong,,author,for the price,
c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,leggings,functionality,positive,average,,author,too,so you can wear them as leggings
c-4,They hold up great !,,hold up great,,general,positive,strong,,,,
c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,quality,negative,strong,I,author,always worn,was disappointed when they were not leather and they were made in China
c-7,I use them for musical theatre productions and they holdup well .,them,holdup well,products,durability,positive,strong,I,author,for musical theatre productions,
c-8,"She said they are so comfortable , and they are perfect .",,so comfortable,items,comfort,positive,strong,she,speaker,,
,,,perfect,items,quality,positive,strong,she,speaker,,
c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,item,usability,negative,strong,I,author,,"could not wear them , will return"
c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,,I've ever worn
,,shoes,stylish,footwear,design,positive,average,,author,,
c-12,I bought 2 other pairs for other cast members !,cast members,,pairs,general,,,I,author,2 other pairs for other cast members,
c-13,Comfortable and attractive .,,Comfortable and attractive,,general,positive,strong,,,,
c-15,Everything else about these tights is amazing .,these tights,amazing,clothing,general,positive,strong,,author,everything else about,
c-16,These shoes are great .,shoes,great,footwear,quality,positive,strong,,author,,
c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,legs,appearance,positive,strong,I,author,,make the legs look beautiful
,,seams,coming apart,crotch,quality,negative,strong,I,author,noticed,the seams are coming apart at the crotch
c-18,They are nice and exactly what I expected .,,nice,items,general,positive,average,,author,exactly what I expected,
c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,footwear,quality,positive,strong,my husband,husband,,loves his boots
c-20,Very small fit .,fit,very small,clothing,size,negative,strong,,author,,
c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,sizing guidance,usability,positive,strong,you,author,follow the capezio size chart,
c-21,The soles are soft too .,soles,soft,footwear,material_quality,positive,average,,author,too,
c-24,Order 1 size larger than needed .,size,larger than needed,clothing,sizing,negative,weak,,author,Order 1,
l-1,Great for Programming and for low end gaming,Programming,Great,usage,functionality,positive,strong,,author,for low end gaming,
,,low end gaming,Great,usage,functionality,positive,strong,,author,,Great for Programming and for low end gaming
l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,leads to broken displays,display,operational_performance,negative,strong,,author,,The combination of these design flows
,,magsafe plug,caught inside the computer,computer,operational_performance,negative,strong,,author,upon closing,breaking the monitor
l-3,Images are too dark and blurry .,images,too dark and blurry,images,quality,negative,strong,,author,,
l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than its price,product,value,positive,strong,I,author,mainly to do android app development,let me tell you
l-6,I 'm a mac user and I would love to get this laptop .,laptop,would love to get,laptop,general,positive,strong,I,user,mac user,
l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,mushy no tactile feedback,keyboard,operational_performance,negative,strong,,author,,it is all mushy no tactile feedback
l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,value,positive,strong,,author,especially having an 8th gen Intel processor,
l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,very well made,keyboard,quality,positive,strong,,author,solid,
,,keyboard,"comfortable, well-sized",keyboard,usability,positive,average,,author,,"comfortable, well-sized"
l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,quality,positive,average,,author,for discord/google hangouts/etc,
,,microphone,high enough quality,microphone,quality,positive,average,,author,for discord/google hangouts/etc,
l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,average,,author,,
l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,performance,negative,strong,,author,this computer,performs worse than the $200 computer I used while waiting on the 'replacement' computer I got when the other one crashed.
l-15,It took a few weeks for them to send it back .,,took a few weeks,return process,time,negative,weak,them,,,
l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,process,operational_performance,negative,strong,I,user,all the troubleshooting steps,still nothing
l-18,"Even without a SSD , it is still pretty fast .",,pretty fast,performance,operational_performance,positive,average,,author,Even without a SSD,it is still pretty fast
l-19,I really liked the laptop for its sleekness and weight .,laptop,really liked,product,design,positive,strong,I,author,for its sleekness and weight,
l-24,Delivery - very fast by courier .,delivery,very fast,service,operational_performance,positive,strong,,author,by courier,
l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
,,screen,not the best,display,operational_performance,negative,weak,,author,,is not the best but its good for the price
,,laptop,good for the price,laptop,value,positive,average,,author,cheap gaming laptop,its good for the price
,,gaming performance,works with every game,laptop,operational_performance,positive,strong,,author,cheap gaming laptop,works with every game i trow at it
l-26,"Laptop was new , in perfect condition and works like a charm .",Laptop,new,product,condition,positive,strong,,author,,
,,Laptop,perfect condition,product,condition,positive,strong,,author,,
,,Laptop,works like a charm,product,performance,positive,strong,,author,,
l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,hoped for better,device,performance,negative,strong,I,author,,had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )
l-21,Feel really disappointed as was so happy with previous model .,previous model,disappointed,model,performance,negative,strong,,author,really,was so happy with previous model
r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",food,incredibly long time,service,operational_performance,negative,strong,I,author,"weird, but whatever",waited for what seemed like an incredibly long time just to get our food
r-2,I come here because you leave full and with money still in your pockets .,,full,experience,general,positive,strong,I,author,,because you leave full and with money still in your pockets
r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,I,author,,
,,service,makes things bad,service,quality,negative,strong,,author,,just makes things bad here
r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",Pho,wanting Pho,dish,food,positive,strong,I,author,,this place makes me wanting Pho every time I come
r-5,This is one of my favorite brunch places .,brunch places,favorite,restaurant,general,positive,strong,,author,one of my,
r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,oils and fresh bread,big miss,establishment,quality,negative,strong,,author,Other establishments on the North End spoil you with tasty,that's a big miss here!
r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,ambiance,general,positive,strong,,author,nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating,
,,drinks,,beverages,general,,,,author,,this review is just for the drinks
,,service,,service quality,general,,,,author,,this review is just for the service
,,atmosphere,does n't seem like they 're trying to beat you over the head with a theme,ambiance,general,positive,weak,,author,,it does n't seem like they 're trying to beat you over the head with a theme in the decorating
r-9,This will probably be the last time we will come here .,,probably be the last time,location,general,negative,weak,we,author,,
r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",credit cards,bummer,payment method,availability,negative,weak,,author,,No credit cards
,,ATM,,ATM service,availability,positive,average,,author,they do have,
r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,plenty acceptable,restaurant,general,positive,average,I,author,for grabbing a quick lunch or dinner on your way somewhere else,would n't quite recommend it for date night or a rehearsal dinner
r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,breakfast,food,positive,strong,,author,,
,,ambiance,really enjoyed,ambiance,atmosphere,positive,strong,,author,,
,,server ladies,really sweet and helpful,service,service_quality,positive,strong,,author,,
r-14,Great place !,,Great,place,general,positive,strong,,author,,
r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",this spot,easy to miss,location,accessibility,negative,weak,my,author,owners,"Walking by on E. Hastings, it's easy to miss this spot."
r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,3 stars,restaurant,service_quality,negative,weak,I,author,we had to search for our waitress and it took about a hour before we receive our food,
r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,drinks,added a splash of coke,drinks,taste,negative,weak,I,author,to add more insult,
,,self,relatively calm,self,emotional_state,positive,average,I,author,,
r-20,The old place was more accommodating to singles .,old place,more accommodating,venue,service,positive,average,,author,singles,
r-21,This chicken is unbelievable .,chicken,unbelievable,food,quality,positive,strong,,author,,
r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,quality,negative,strong,,author,,
r-27,I was reluctant to go here .,,reluctant,location,general,negative,strong,I,author,,
r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,Amazing,food,taste,positive,strong,,author,,
,,french fries,to die for,food,taste,positive,strong,,author,,
,,milkshakes,,drink,taste,positive,strong,dont even get me STARTED on,author,,
