id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot,narrative_development,positive,strong,we,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,quality,negative,strong,,author,in particular,"unsophisticated, almost juvenile in comparison to earlier volumes"
b-17,Loved the book .,book,Loved,book,general,positive,strong,,author,,
b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,abused children,sad tale,welfare system,emotional_impact,negative,strong,,author,just how easy it is for these,get lost in the welfare system
b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,general,negative,strong,we,readers,,about hit rock bottom
b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,ability to bring an ironic touch,author,writing_style,positive,strong,,author,,Not that there is no humour
,,crime novel,not for the faint hearted,book,genre,negative,strong,,author,this is not,this is not a crime novel for the faint hearted
b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,ladies,character_trait,positive,strong,,author,a lesson to us all,can be found to be inspirational & a lesson to us all
b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,insight,general,positive,average,avid Diana fan,fan,,innocent
,,certain facts,should not have been revealed,facts,information,negative,strong,,fan,,
b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,compelling,book,narrative_quality,positive,strong,I,author,,Had I appreciated what a compelling narrative Mukherjee sets out
,,how well he tells it,well,book,narrative_quality,positive,average,I,author,,how well he tells it
,,exceptional book,exceptional,book,general,positive,strong,I,author,"numerous, good reviews",this is a comprehensive and detailed treatment for the non-expert
,,clarity,clarity,science,explanatory_quality,positive,average,,author,,manages to explain the science (and some of the politics) with clarity
,,compelling and often moving narrative,compelling and often moving,narrative,narrative_quality,positive,strong,,author,,providing a compelling and often moving narrative
h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,venue,general,positive,strong,,author,,
,,rooftop,beyond spectacular,venue,general,positive,strong,,author,,
h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,comfort,positive,strong,,author,,
,,bathroom,great addition,accommodation,facilities,positive,strong,,author,connected to the room,
h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,average,,author,definitely consider to come again,
h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk,grocery store,accessibility,positive,average,,author,a 15 min walk away,which was easy to walk from with a few groceries for breakfasts and snacks
h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,author,,kept very clean
,,apartment,nicely furnished,apartment,furnishing,positive,average,,author,,nicely furnished
h-6,Really great location close to so many restaurants .,location,really great,place,accessibility,positive,strong,,author,close to so many restaurants,
h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,Oine,hospitality,positive,strong,,author,,very responsive by text and email
,,preparation of the apartment,thoughtful,Oine,accommodation,positive,average,,author,,thoughtful with her preparation of the apartment
,,apartment,spotless,Oine,cleanliness,positive,strong,,author,,which was spotless and nicely decorated
,,apartment,nicely decorated,Oine,aesthetics,positive,average,,author,,which was spotless and nicely decorated
,,apartment,feels like home,Oine,comfort,positive,strong,,author,,feels like home
h-8,Excellent space in a fantastic location .,space,Excellent,property,general,positive,strong,,author,,fantastic location
,,location,fantastic,property,general,positive,strong,,author,,
h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,accommodation,location,positive,strong,you,traveler,if you 're staying in Boston,
h-10,By far one of the best locations you could stay at in Boston .,locations,one of the best,accommodation,general,positive,strong,,author,By far,you could stay at in Boston
h-11,Everything was super clean .,,super clean,environment,cleanliness,positive,strong,,author,,Everything was super clean
h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
h-14,Great location close to the Commons .,location,Great,property,accessibility,positive,strong,,author,close to the Commons,
h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",welcome,made me feel welcome,hosts,hospitality,positive,strong,,guest,the second I entered the home,"helping me carry my items upstairs, explaining where everything was, and offering me breakfast and coffee in the morning"
h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,location,facilities,negative,strong,,author,,This location does not have a kitchen
,,bathroom,must share,location,facilities,negative,strong,,author,,you must share a bathroom
h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,view,experience,positive,strong,we,group,360 degree views,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
h-20,I highly recommend it !,it,highly recommend,product,general,positive,strong,I,author,,
h-24,Excellent location for exploring Boston .,location,Excellent,Boston,general,positive,strong,,author,for exploring,
h-21,Best location in Boston .,location,Best,Boston,general,positive,strong,,author,,
h-28,Great attention to detail and very good communication,attention to detail,Great,service,quality,positive,strong,,author,,
,,communication,very good,service,quality,positive,average,,author,,
c-1,I enjoy dancing with these shoes on my feet .,shoes,enjoy,footwear,comfort,positive,strong,I,author,these,dancing with these shoes on my feet
c-2,Super crinoline for the price !,crinoline,Super,product,value,positive,strong,,author,for the price,
c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,clothing,style,positive,average,,author,too,so you can wear them as leggings
c-4,They hold up great !,,hold up great,,,positive,strong,they,unspecified group,,
c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material,negative,strong,I,author,always,were not leather and they were made in China
c-7,I use them for musical theatre productions and they holdup well .,them,holdup well,products,durability,positive,strong,I,user,for musical theatre productions,
c-8,"She said they are so comfortable , and they are perfect .",,so comfortable,shoes,comfort,positive,strong,She,speaker,,
,,,perfect,shoes,quality,positive,strong,She,speaker,,
c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,clothing,usability,negative,strong,I,user,very carefully this morning,will return
c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,ever worn,
,,shoes,stylish,footwear,style,positive,average,I,author,,
c-12,I bought 2 other pairs for other cast members !,,bought,pairs,purchase,positive,strong,I,author,2 other pairs for other cast members,
c-13,Comfortable and attractive .,,Comfortable and attractive,,general,positive,strong,,,,
c-15,Everything else about these tights is amazing .,tights,amazing,product,general,positive,strong,,author,everything else about these,
c-16,These shoes are great .,shoes,great,footwear,quality,positive,strong,,author,,
c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",legs,beautiful,tights,appearance,positive,strong,I,author,Although,the tights make the legs look beautiful
,,seams,coming apart,tights,quality,negative,strong,I,author,,I have noticed the seams are coming apart at the crotch
c-18,They are nice and exactly what I expected .,,nice,items,quality,positive,average,I,author,exactly what I expected,
c-19,"My husband loves his boots , excellent quality .",boots,loves,footwear,quality,positive,strong,my husband,husband,,excellent quality
c-20,Very small fit .,fit,very small,clothing,size,negative,strong,,author,,
c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,capezio,sizing,positive,average,you,author,follow,
c-21,The soles are soft too .,soles,soft,shoes,comfort,positive,average,,author,too,
c-24,Order 1 size larger than needed .,size,larger than needed,order,sizing,negative,average,,customer,1,
l-1,Great for Programming and for low end gaming,,Great,product,usability,positive,strong,,author,for Programming and for low end gaming,
l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,leads to broken displays,computer,design,negative,strong,,author,combination of these,"when the magsafe plug is caught inside the computer upon closing , breaking the monitor"
l-3,Images are too dark and blurry .,images,too dark and blurry,images,quality,negative,strong,,author,,
l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,product,value,positive,strong,I,author,mainly to do android app development,
l-6,I 'm a mac user and I would love to get this laptop .,laptop,would love,laptop,general,positive,strong,I,user,mac user,
l-7,Keyboard : it is all mushy no tactile feedback .,Keyboard,mushy no tactile feedback,keyboard,operational_performance,negative,strong,,author,all,
l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,value,positive,strong,,author,for the price,especially having an 8th gen Intel processor
l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,solid,keyboard,quality,positive,strong,,author,very well made,
,,keyboard,comfortable,keyboard,usability,positive,strong,,author,well-sized,
l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,quality,positive,average,,author,for discord/google hangouts/etc,
,,microphone,high enough quality,microphone,quality,positive,average,,author,for discord/google hangouts/etc,
l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,average,,author,,
l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,performance,negative,strong,,author,Please do not purchase this,worse than the $200 computer I used while waiting on the 'replacement' computer I got when the other one crashed.
l-15,It took a few weeks for them to send it back .,,took a few weeks,service,delivery_time,negative,average,them,service provider,,send it back
l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,process,effectiveness,negative,strong,I,user,all,have gone through all the troubleshooting steps and still nothing
l-18,"Even without a SSD , it is still pretty fast .",,pretty fast,device,performance,positive,average,,author,Even without a SSD,it is still pretty fast
l-19,I really liked the laptop for its sleekness and weight .,sleekness,really liked,laptop,design,positive,strong,I,author,,for its sleekness and weight
,,weight,really liked,laptop,design,positive,strong,I,author,,for its sleekness and weight
l-24,Delivery - very fast by courier .,Delivery,very fast,service,speed,positive,strong,,author,by courier,
l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
,,screen,not the best,screen,quality,negative,average,,author,but its good for the price,
,,gaming laptop,good for the price,laptop,value,positive,average,,author,cheap,
,,performance,works with every game,laptop,operational_performance,positive,strong,,author,,i trow at it
l-26,"Laptop was new , in perfect condition and works like a charm .",condition,perfect,laptop,physical_condition,positive,strong,,author,new,
,,performance,works like a charm,laptop,operational_performance,positive,strong,,author,,
l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,hoped for better,device,performance,negative,strong,I,user,as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ),
l-21,Feel really disappointed as was so happy with previous model .,previous model,really disappointed,product,satisfaction,negative,strong,,author,so happy,
r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",food,incredibly long time,service,wait_time,negative,strong,I,author,just to get,waited for what seemed like an incredibly long time
,,coupon,weird,discount,general,negative,weak,I,author,whatever,"Weird, but whatever, I need to eat regardless of the coupon."
r-2,I come here because you leave full and with money still in your pockets .,,full,experience,value,positive,strong,I,author,because you leave,with money still in your pockets
r-3,I love hot pot but the service just makes things bad here .,hot pot,love,dish,taste,positive,strong,I,author,,
,,service,makes things bad,service,quality,negative,strong,,author,just,
r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",PhO,wanting Pho,restaurant,food,positive,strong,I,author,every time I come,this place makes me wanting Pho every time I come
r-5,This is one of my favorite brunch places .,brunch places,favorite,restaurant,general,positive,strong,my,author,one of,
r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,oils,tasty,establishments,food_quality,positive,strong,,author,Other establishments on the North End,spoil you with tasty oils and fresh bread
,,miss,big miss,establishments,service_quality,negative,strong,,author,here,that's a big miss here!
r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,restaurant,ambiance,positive,strong,I,author,nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating,
,,drinks,,restaurant,offerings,neutral,,I,author,just for the drinks,
,,service,,restaurant,service_quality,neutral,,I,author,just for the service,
r-9,This will probably be the last time we will come here .,,probably be the last time,place,general,negative,average,we,group,probably,
r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,Stop driving out,drivers,behavior,negative,strong,idiots,author,wrong way,
,,credit cards,bummer,payment options,service,negative,average,,author,No,which is a bummer
,,ATM,,payment options,service,positive,average,,author,they do have,but they do have an ATM inside
r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",date night,would n't quite recommend,restaurant,suitability,negative,average,I,author,while,
,,grabbing a quick lunch or dinner,plenty acceptable,restaurant,suitability,positive,average,I,author,for,on your way somewhere else
r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,enjoyed,restaurant,food,positive,strong,my bestie,author,,really enjoyed the country style breakfast and ambiance
,,ambiance,enjoyed,restaurant,atmosphere,positive,strong,my bestie,author,,really enjoyed the country style breakfast and ambiance
,,server ladies,really sweet and helpful,service,service_quality,positive,strong,,author,,our server ladies were really sweet and helpful
,,crowded,pretty crowded,restaurant,crowd,positive,average,,author,for a weekday,they were pretty crowded for a weekday
r-14,Great place !,,Great place,location,general,positive,strong,,author,,
r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",spot,easy to miss,location,visibility,negative,average,my advice to the owners,author,Walking by on E. Hastings,it 's easy to miss this spot
r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,waitress,had to search for our waitress,service,service_quality,negative,strong,I,customer,,it took about a hour before we receive our food
,,food,took about a hour before we receive our food,meal,service_quality,negative,strong,I,customer,,
r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,coke,insult,drinks,quality,negative,strong,I,speaker,more,added a splash of coke to our drinks
,,calm,relatively calm,speaker,demeanor,positive,average,I,speaker,relatively,
r-20,The old place was more accommodating to singles .,old place,more accommodating,venue,service,positive,average,,author,to singles,
r-21,This chicken is unbelievable .,chicken,unbelievable,food,quality,positive,strong,,author,,
r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,quality,negative,strong,,author,,
r-27,I was reluctant to go here .,,reluctant,location,general,negative,strong,I,author,,
r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,Amazing,food,taste,positive,strong,,author,,
,,french fries,to die for,food,taste,positive,strong,,author,,
,,milkshakes,dont even get me STARTED,food,taste,positive,strong,,author,,
