id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,average,,author,,
l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,operational_performance,negative,strong,,author,this computer,performs worse than the $200 computer I used while waiting on the 'replacement' computer I got when the other one crashed.
l-15,It took a few weeks for them to send it back .,,took a few weeks,service,delivery_time,negative,average,them,service provider,,
l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,process,effectiveness,negative,strong,I,author,all,have gone through all the troubleshooting steps and still nothing
l-18,"Even without a SSD , it is still pretty fast .",,pretty fast,device,performance,positive,average,,author,even without a SSD,
l-19,I really liked the laptop for its sleekness and weight .,laptop,really liked,product,design,positive,strong,I,author,,for its sleekness and weight
l-24,Delivery - very fast by courier .,Delivery,very fast,service,speed,positive,strong,,author,by courier,
l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
,,screen,not the best,display,operational_performance,negative,weak,,author,,
,,price,good for the price,value,value,positive,average,,author,cheap gaming laptop,
,,gaming laptop,works with every game,laptop,operational_performance,positive,strong,,author,,
l-26,"Laptop was new , in perfect condition and works like a charm .",Laptop,new,product,condition,positive,strong,,author,,
,,Laptop,perfect condition,product,condition,positive,strong,,author,,
,,Laptop,works like a charm,product,operational_performance,positive,strong,,author,,
l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,hoped for better,device,performance,negative,strong,I,author,,it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )
l-21,Feel really disappointed as was so happy with previous model .,previous model,disappointed,model,performance,negative,strong,I,author,,was so happy with previous model
r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",food,incredibly long time,service,wait_time,negative,strong,we,customers,,waited for what seemed like an incredibly long time just to get our food
r-2,I come here because you leave full and with money still in your pockets .,,full and with money still in your pockets,service,value,positive,strong,I,author,,because you leave full and with money still in your pockets
r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,general,positive,strong,I,author,,
,,service,makes things bad,service,operational_performance,negative,strong,I,author,,just makes things bad here
r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",Pho,wanting,restaurant,food,positive,strong,I,author,,this place makes me wanting Pho every time I come
,,Pho,great,cooking,food,positive,strong,my mom,author,,my mom is a great Pho cooker
r-5,This is one of my favorite brunch places .,brunch places,favorite,restaurant,general,positive,strong,I,author,one of my,
r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,oils,tasty,establishments,food_quality,positive,strong,,author,Other establishments on the North End,spoil you with tasty oils and fresh bread
,,miss,big miss,here,service_quality,negative,strong,,author,,that 's a big miss here !
r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,restaurant,ambiance,positive,strong,I,author,,nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating
,,drinks,,restaurant,offerings,neutral,average,I,author,just for the drinks,
,,service,,restaurant,service_quality,neutral,average,I,author,just for the service,
,,atmosphere,does n't seem like they 're trying to beat you over the head with a theme,restaurant,ambiance,positive,average,I,author,nothing is too overwhelming,
r-9,This will probably be the last time we will come here .,,probably be the last time,place,general,negative,strong,we,author,,
r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,idiots,drivers,behavior,negative,strong,,author,,Stop driving out the wrong way
,,credit cards,bummer,payment options,service,negative,average,,author,,No credit cards
,,ATM,,service,service,positive,average,,author,they do have,
r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",date night,would n't quite recommend,restaurant,suitability,negative,strong,I,author,,would n't quite recommend it for date night or a rehearsal dinner
,,grabbing a quick lunch or dinner,plenty acceptable,restaurant,suitability,positive,average,I,author,,plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else
r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,restaurant,food,positive,strong,I,author,,
,,ambiance,enjoyed,restaurant,atmosphere,positive,average,I,author,,
,,server ladies,really sweet and helpful,service,service_quality,positive,strong,,author,,
r-14,Great place !,place,Great,location,general,positive,strong,,author,,
r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",spot,easy to miss,location,visibility,negative,average,my advice,author,owners,Walking by on E. Hastings
r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,waitress,had to search for,service,service_quality,negative,strong,I,author,,it took about a hour before we receive our food
,,food,took about a hour before we receive,meal,service_timing,negative,strong,I,author,,
r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,insult,added a splash of coke,drinks,behavior,negative,strong,I,author,more,to add more insult
,,calm,relatively calm,self,personal_trait,positive,average,I,author,relatively,
r-20,The old place was more accommodating to singles .,old place,more accommodating,venue,service,positive,average,,author,to singles,
r-21,This chicken is unbelievable .,chicken,unbelievable,food,quality,positive,strong,,author,,
r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,quality,negative,strong,,author,,
r-27,I was reluctant to go here .,,reluctant,place,general,negative,strong,I,author,,to go here
r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,Amazing,food,taste,positive,strong,,author,,
,,french fries,to die for,food,taste,positive,strong,,author,,
,,milkshakes,dont even get me STARTED,food,taste,positive,strong,,author,,
