id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot,narrative_development,positive,strong,we,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,quality,negative,strong,,author,in particular,"unsophisticated, almost juvenile in comparison to earlier volumes"
b-17,Loved the book .,book,Loved,book,general,positive,strong,,author,,
b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad tale,children,social_issue,negative,strong,,author,abused children,just how easy it is for these abused children to get lost in the welfare system
b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,series,general,negative,strong,we,author,,about hit rock bottom
b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,ability to bring an ironic touch,author,writing_style,positive,strong,author,author,,ability to bring an ironic touch to the darkest scenes
,,crime novel,not for the faint hearted,book,genre,negative,strong,,author,,this is not a crime novel for the faint hearted
b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,lady,character_trait,positive,strong,,author,a lesson to us all,can be found to be inspirational & a lesson to us all
b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,content,general,positive,average,avid Diana fan,fan,,
,,certain facts,should not have been revealed,information,general,negative,strong,,,,
b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,compelling,narrative,content_quality,positive,strong,I,author,,Had I appreciated what a compelling narrative Mukherjee sets out
,,how well he tells it,well,storytelling,content_quality,positive,average,I,author,,how well he tells it
,,exceptional book,exceptional,book,general,positive,strong,I,author,"numerous, good reviews","there are numerous, good reviews of this exceptional book"
,,comprehensive and detailed treatment,comprehensive and detailed,treatment,content_quality,positive,strong,I,author,for the non-expert,this is a comprehensive and detailed treatment for the non-expert
,,clarity,clarity,explanation,content_quality,positive,average,I,author,,manages to explain the science (and some of the politics) with clarity
h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,place,general,positive,strong,,author,,
,,rooftop,beyond spectacular,feature,general,positive,strong,,author,,
h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,comfort,positive,strong,,author,,
,,bathroom,great addition,accommodation,features,positive,strong,,author,connected to the room,
h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,average,,author,,
,,,definitely consider to come again,location,general,positive,strong,,author,,
h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk,grocery store,accessibility,positive,average,,author,a 15 min walk away,which was easy to walk from with a few groceries for breakfasts and snacks
h-5,"The apartment is kept very clean , and nicely furnished .",clean,very clean,apartment,cleanliness,positive,strong,,author,,kept very clean
,,furnished,nicely furnished,apartment,furnishing,positive,average,,author,,nicely furnished
h-6,Really great location close to so many restaurants .,location,really great,place,general,positive,strong,,author,close to so many restaurants,
h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,Oine,hospitality,positive,strong,,author,,very responsive by text and email
,,preparation of the apartment,thoughtful,Oine,hospitality,positive,average,,author,,
,,apartment,spotless,apartment,cleanliness,positive,strong,,author,,
,,apartment,nicely decorated,apartment,aesthetics,positive,strong,,author,,
,,apartment,feels like home,apartment,comfort,positive,strong,,author,,
h-8,Excellent space in a fantastic location .,space,Excellent,location,general,positive,strong,,author,fantastic location,
,,location,fantastic,location,general,positive,strong,,author,,
h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,accommodation,location,positive,strong,you,author,if you 're staying in Boston,
h-10,By far one of the best locations you could stay at in Boston .,locations,one of the best,accommodation,general,positive,strong,,author,By far,you could stay at in Boston
h-11,Everything was super clean .,,super clean,environment,cleanliness,positive,strong,,author,,
h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
h-14,Great location close to the Commons .,location,Great,property,general,positive,strong,,author,close to the Commons,
h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",,made me feel welcome,hosts,hospitality,positive,strong,I,guest,the second I entered the home,"helping me carry my items upstairs, explaining where everything was, and offering me breakfast and coffee in the morning"
h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,location,facilities,negative,strong,,author,,does not have a kitchen
,,bathroom,must share,location,facilities,negative,strong,,author,,must share a bathroom
h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,view,experience,positive,strong,we,group,for the 70-80 degree weather we were enjoying,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
h-20,I highly recommend it !,,highly recommend,product/service,general,positive,strong,I,author,,
h-24,Excellent location for exploring Boston .,location,Excellent,place,general,positive,strong,,author,for exploring Boston,
h-21,Best location in Boston .,location,Best,place,general,positive,strong,,author,in Boston,
h-28,Great attention to detail and very good communication,attention to detail,Great,service,quality,positive,strong,,author,,
,,communication,very good,service,quality,positive,strong,,author,,
c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,shoes,experience,positive,strong,I,author,these shoes on my feet,
c-2,Super crinoline for the price !,crinoline,Super,product,value,positive,strong,,author,for the price,
c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,leggings,design,positive,average,,author,,so you can wear them as leggings
c-4,They hold up great !,,hold up great,product,durability,positive,strong,they,unspecified group,,
c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material_quality,negative,strong,I,author,always worn,when they were not leather and they were made in China
c-7,I use them for musical theatre productions and they holdup well .,them,holdup well,products,durability,positive,average,I,author,for musical theatre productions,
c-8,"She said they are so comfortable , and they are perfect .",comfortable,so comfortable,shoes,comfort,positive,strong,she,speaker,,
,,perfect,perfect,shoes,quality,positive,strong,she,speaker,,
c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,clothing,usability,negative,strong,I,author,,they slot over the abdomen as I was putting them on very carefully this morning
,,,will return,clothing,usability,negative,strong,I,author,,could not wear them
c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",comfortable shoes,most comfortable,shoes,comfort,positive,strong,I,author,,I've ever worn
,,stylish,stylish,shoes,design,positive,average,,author,,
c-12,I bought 2 other pairs for other cast members !,,,cast members,purchase,,,I,author,,bought 2 other pairs for other cast members
c-13,Comfortable and attractive .,,Comfortable and attractive,,general,positive,strong,,author,,
c-15,Everything else about these tights is amazing .,,amazing,tights,general,positive,strong,,author,everything else about these,
c-16,These shoes are great .,shoes,great,footwear,quality,positive,strong,,author,,
c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,legs,appearance,positive,strong,I,author,,make the legs look beautiful
,,seams,coming apart,crotch,quality,negative,strong,I,author,,have noticed the seams are coming apart at the crotch
c-18,They are nice and exactly what I expected .,,nice,items,general,positive,average,I,author,exactly what I expected,
c-19,"My husband loves his boots , excellent quality .",boots,loves,footwear,quality,positive,strong,my husband,husband,,excellent quality
,,quality,excellent,boots,quality,positive,strong,my husband,husband,,
c-20,Very small fit .,fit,very small,clothing,size,negative,strong,,author,,
c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,sizing guide,usability,positive,average,you,author,follow,
c-21,The soles are soft too .,soles,soft,shoes,comfort,positive,average,,author,too,
c-24,Order 1 size larger than needed .,size,larger than needed,order,sizing,negative,strong,,author,1,
l-1,Great for Programming and for low end gaming,,Great,product,general,positive,strong,,author,for Programming and for low end gaming,
l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,leads to broken displays,computer,operational_performance,negative,strong,,author,,"when the magsafe plug is caught inside the computer upon closing , breaking the monitor"
l-3,Images are too dark and blurry .,images,too dark and blurry,images,quality,negative,strong,,author,,
l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,product,value,positive,strong,I,author,mainly to do android app development,
l-6,I 'm a mac user and I would love to get this laptop .,laptop,would love,product,general,positive,strong,I,user,mac user,
l-7,Keyboard : it is all mushy no tactile feedback .,mushy,all mushy,keyboard,tactile_feedback,negative,strong,it,author,,no tactile feedback
l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,value,positive,strong,,author,especially having an 8th gen Intel processor,
l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",well made,very well made,product,quality,positive,strong,,author,,"solid construction and a comfortable, well-sized keyboard"
,,keyboard,"comfortable, well-sized",keyboard,usability,positive,average,,author,,
l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera and microphone,high enough quality,camera and microphone,quality,positive,average,,author,for discord/google hangouts/etc,
l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,average,,author,,
l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,performance,negative,strong,I,author,this computer,performs worse than the $200 computer I used while waiting on the 'replacement' computer I got when the other one crashed.
l-15,It took a few weeks for them to send it back .,,took a few weeks,service,delivery_time,negative,average,them,service provider,,
l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,process,effectiveness,negative,strong,I,author,all,have gone through all the troubleshooting steps and still nothing
l-18,"Even without a SSD , it is still pretty fast .",,pretty fast,performance,operational_performance,positive,average,,author,even without a SSD,it is still pretty fast
l-19,I really liked the laptop for its sleekness and weight .,sleekness,liked,laptop,design,positive,strong,I,author,,for its sleekness and weight
,,weight,liked,laptop,design,positive,strong,I,author,,for its sleekness and weight
l-24,Delivery - very fast by courier .,Delivery,very fast,service,speed,positive,strong,,author,by courier,
l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
,,screen,not the best,display,operational_performance,negative,weak,,author,,
,,price,good for the price,laptop,value,positive,average,,author,,
,,gaming laptop,cheap,laptop,general,positive,average,,author,,
,,gaming performance,works with every game,laptop,operational_performance,positive,strong,,author,,I trow at it
l-26,"Laptop was new , in perfect condition and works like a charm .",condition,perfect,laptop,physical_condition,positive,strong,,author,new,
,,works,works like a charm,laptop,operational_performance,positive,strong,,author,,
l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,hoped for better,device,performance,negative,strong,I,author,,it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )
l-21,Feel really disappointed as was so happy with previous model .,,really disappointed,model,general,negative,strong,I,author,previous model,was so happy with previous model
r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",incredibly long time,,service,wait_time,negative,strong,we,customers,,waited for what seemed like an incredibly long time just to get our food
r-2,I come here because you leave full and with money still in your pockets .,,full and with money still in your pockets,experience,service,positive,strong,I,author,,because you leave full and with money still in your pockets
r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,I,author,,
,,service,makes things bad,service,operational_performance,negative,strong,I,author,,
r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",Pho,makes me wanting,restaurant,food,positive,strong,I,author,,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come."
r-5,This is one of my favorite brunch places .,brunch places,favorite,restaurant,general,positive,strong,my,author,one of,
r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,big miss,big miss,establishment,quality,negative,strong,,author,here,Other establishments on the North End spoil you with tasty oils and fresh bread
r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,restaurant,ambiance,positive,strong,I,author,,
,,atmosphere,nothing is too overwhelming,restaurant,ambiance,positive,average,I,author,,does n't seem like they 're trying to beat you over the head with a theme in the decorating
r-9,This will probably be the last time we will come here .,,probably be the last time,place,general,negative,strong,we,author,,
r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,Stop,behavior,operational_performance,negative,strong,idiots,author,,
,,credit cards,bummer,payment method,service,negative,average,,author,No,which is a bummer
,,ATM,,service,service,positive,average,,author,they do have,but they do have an ATM inside
r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,plenty acceptable,restaurant,suitability,positive,average,I,author,for grabbing a quick lunch or dinner on your way somewhere else,while I wouldn't quite recommend it for date night or a rehearsal dinner
r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,breakfast,food,positive,strong,I,author,,
,,ambiance,,atmosphere,environment,positive,strong,I,author,,enjoyed the country style breakfast and ambiance
,,server ladies,really sweet and helpful,service,service_quality,positive,strong,,author,,were pretty crowded for a weekday
r-14,Great place !,place,Great,location,general,positive,strong,,author,,
r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",,easy to miss,spot,accessibility,negative,average,my advice to the owners,author,Walking by on E. Hastings,it 's easy to miss this spot
r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,took about a hour,restaurant,operational_performance,negative,strong,I,customer,,we had to search for our waitress and it took about a hour before we receive our food
r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,splash of coke,insult,drinks,experience,negative,strong,I,author,more,added a splash of coke to our drinks
,,calm,relatively calm,self,personal_trait,positive,average,I,author,relatively,
r-20,The old place was more accommodating to singles .,old place,more accommodating,venue,service,positive,average,,author,to singles,
r-21,This chicken is unbelievable .,chicken,unbelievable,food,quality,positive,strong,,author,,
r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,quality,negative,strong,,author,,
r-27,I was reluctant to go here .,,reluctant,place,general,negative,strong,I,author,,
r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,Amazing,food,taste,positive,strong,,author,,
,,french fries,to die for,food,taste,positive,strong,,author,,
,,milkshakes,dont even get me STARTED,food,taste,positive,strong,,author,,
